crop,layer,ADM0_NAME,ADM1_NAME,WWF_MHTNAM,Freq
COFFAR45,-1,Guatemala,Chiquimula,Deserts and Xeric Shrublands,2
COFFAR85,-1,Guatemala,Chiquimula,Deserts and Xeric Shrublands,2
COFFAR45,1,Guatemala,Chiquimula,Deserts and Xeric Shrublands,4
COFFAR85,1,Guatemala,Chiquimula,Deserts and Xeric Shrublands,4
COFFAR45,-1,Guatemala,El Progreso,Deserts and Xeric Shrublands,5
COFFAR85,-1,Guatemala,El Progreso,Deserts and Xeric Shrublands,8
COFFAR45,1,Guatemala,El Progreso,Deserts and Xeric Shrublands,5
COFFAR85,1,Guatemala,El Progreso,Deserts and Xeric Shrublands,2
THEOCA45,1,Guatemala,El Progreso,Deserts and Xeric Shrublands,1
THEOCA85,1,Guatemala,El Progreso,Deserts and Xeric Shrublands,1
COFFAR45,2,Guatemala,El Progreso,Deserts and Xeric Shrublands,1
COFFAR85,2,Guatemala,El Progreso,Deserts and Xeric Shrublands,1
COFFAR45,-1,Mexico,Hidalgo,Deserts and Xeric Shrublands,4
COFFAR85,-1,Mexico,Hidalgo,Deserts and Xeric Shrublands,5
COFFAR45,1,Mexico,Hidalgo,Deserts and Xeric Shrublands,2
COFFAR85,1,Mexico,Hidalgo,Deserts and Xeric Shrublands,1
COFFAR45,2,Mexico,Hidalgo,Deserts and Xeric Shrublands,12
COFFAR85,2,Mexico,Hidalgo,Deserts and Xeric Shrublands,11
COFFAR45,-1,Guatemala,Jalapa,Deserts and Xeric Shrublands,2
COFFAR85,-1,Guatemala,Jalapa,Deserts and Xeric Shrublands,2
COFFAR45,-1,Mexico,Queretaro,Deserts and Xeric Shrublands,2
COFFAR85,-1,Mexico,Queretaro,Deserts and Xeric Shrublands,2
COFFAR45,-1,Guatemala,Zacapa,Deserts and Xeric Shrublands,10
COFFAR85,-1,Guatemala,Zacapa,Deserts and Xeric Shrublands,10
THEOCA45,-1,Guatemala,Zacapa,Deserts and Xeric Shrublands,1
THEOCA85,-1,Guatemala,Zacapa,Deserts and Xeric Shrublands,1
COFFAR45,1,Guatemala,Zacapa,Deserts and Xeric Shrublands,12
COFFAR85,1,Guatemala,Zacapa,Deserts and Xeric Shrublands,12
THEOCA45,1,Guatemala,Zacapa,Deserts and Xeric Shrublands,17
THEOCA85,1,Guatemala,Zacapa,Deserts and Xeric Shrublands,17
THEOCA45,2,Guatemala,Zacapa,Deserts and Xeric Shrublands,3
THEOCA85,2,Guatemala,Zacapa,Deserts and Xeric Shrublands,3
THEOCA45,1,Nicaragua,Atlantico Norte,Mangroves,71
THEOCA85,1,Nicaragua,Atlantico Norte,Mangroves,71
THEOCA45,-1,Nicaragua,Atlantico Sur,Mangroves,6
THEOCA85,-1,Nicaragua,Atlantico Sur,Mangroves,8
THEOCA45,1,Nicaragua,Atlantico Sur,Mangroves,70
THEOCA85,1,Nicaragua,Atlantico Sur,Mangroves,68
THEOCA45,1,Honduras,Atlantida,Mangroves,9
THEOCA85,1,Honduras,Atlantida,Mangroves,9
THEOCA45,1,Belize,Belize,Mangroves,37
THEOCA85,1,Belize,Belize,Mangroves,37
THEOCA45,-1,Panama,Bocas del Toro,Mangroves,1
THEOCA45,1,Panama,Bocas del Toro,Mangroves,13
THEOCA85,1,Panama,Bocas del Toro,Mangroves,14
THEOCA45,-1,Mexico,Campeche,Mangroves,30
THEOCA85,-1,Mexico,Campeche,Mangroves,35
