label,rcp,ADM0_NAME,ADM1_NAME,WWF_MHTNAM,Freq
Nolongersuitable4coffee/Neversuitable4cocoa,rcp45,Guatemala,Chiquimula,Deserts and Xeric Shrublands,2
Suitable4coffee/Neversuitable4cocoa,rcp45,Guatemala,Chiquimula,Deserts and Xeric Shrublands,4
Nolongersuitable4coffee/Neversuitable4cocoa,rcp85,Guatemala,Chiquimula,Deserts and Xeric Shrublands,2
Suitable4coffee/Neversuitable4cocoa,rcp85,Guatemala,Chiquimula,Deserts and Xeric Shrublands,4
Nolongersuitable4coffee/Neversuitable4cocoa,rcp45,Guatemala,El Progreso,Deserts and Xeric Shrublands,5
Suitable4coffee/Neversuitable4cocoa,rcp45,Guatemala,El Progreso,Deserts and Xeric Shrublands,5
Suitable4coffee/Suitable4cocoa,rcp45,Guatemala,El Progreso,Deserts and Xeric Shrublands,1
Nolongersuitable4coffee/Neversuitable4cocoa,rcp85,Guatemala,El Progreso,Deserts and Xeric Shrublands,8
Suitable4coffee/Neversuitable4cocoa,rcp85,Guatemala,El Progreso,Deserts and Xeric Shrublands,2
Suitable4coffee/Suitable4cocoa,rcp85,Guatemala,El Progreso,Deserts and Xeric Shrublands,1
Nolongersuitable4coffee/Neversuitable4cocoa,rcp45,Mexico,Hidalgo,Deserts and Xeric Shrublands,4
Suitable4coffee/Neversuitable4cocoa,rcp45,Mexico,Hidalgo,Deserts and Xeric Shrublands,14
Nolongersuitable4coffee/Neversuitable4cocoa,rcp85,Mexico,Hidalgo,Deserts and Xeric Shrublands,5
Suitable4coffee/Neversuitable4cocoa,rcp85,Mexico,Hidalgo,Deserts and Xeric Shrublands,12
Nolongersuitable4coffee/Neversuitable4cocoa,rcp45,Guatemala,Jalapa,Deserts and Xeric Shrublands,2
Nolongersuitable4coffee/Neversuitable4cocoa,rcp85,Guatemala,Jalapa,Deserts and Xeric Shrublands,2
Nolongersuitable4coffee/Neversuitable4cocoa,rcp45,Mexico,Queretaro,Deserts and Xeric Shrublands,2
Nolongersuitable4coffee/Neversuitable4cocoa,rcp85,Mexico,Queretaro,Deserts and Xeric Shrublands,2
Nolongersuitable4coffee/Neversuitable4cocoa,rcp45,Guatemala,Zacapa,Deserts and Xeric Shrublands,5
Nolongersuitable4coffee/Suitable4cocoa,rcp45,Guatemala,Zacapa,Deserts and Xeric Shrublands,5
Suitable4coffee/Suitable4cocoa,rcp45,Guatemala,Zacapa,Deserts and Xeric Shrublands,12
Nolongersuitable4coffee/Neversuitable4cocoa,rcp85,Guatemala,Zacapa,Deserts and Xeric Shrublands,4
Nolongersuitable4coffee/Suitable4cocoa,rcp85,Guatemala,Zacapa,Deserts and Xeric Shrublands,6
Suitable4coffee/Suitable4cocoa,rcp85,Guatemala,Zacapa,Deserts and Xeric Shrublands,12
Nolongersuitable4coffee/Neversuitable4cocoa,rcp45,El Salvador,Ahuachapan,Tropical and Subtropical Coniferous Forests,16
Suitable4coffee/Neversuitable4cocoa,rcp45,El Salvador,Ahuachapan,Tropical and Subtropical Coniferous Forests,4
