crop,use,elev,rcp,freq
NA,NA,NA,NA,NA
COFFAR,Fruit,400,RCP45,0.6666666666666666
COFFAR,Fruit,400,RCP85,0.6060606060606061
COFFAR,Fruit,400,Current,0.8181818181818182
COFFAR,Fruit,500,RCP45,0.6060606060606061
COFFAR,Fruit,500,RCP85,0.5757575757575758
COFFAR,Fruit,500,Current,0.7575757575757576
COFFAR,Fruit,600,RCP45,0.5757575757575758
COFFAR,Fruit,600,RCP85,0.5454545454545454
COFFAR,Fruit,600,Current,0.7272727272727273
COFFAR,Fruit,700,RCP45,0.5454545454545454
COFFAR,Fruit,700,RCP85,0.5151515151515151
COFFAR,Fruit,700,Current,0.696969696969697
COFFAR,Fruit,800,RCP45,0.5757575757575758
COFFAR,Fruit,800,RCP85,0.5454545454545454
COFFAR,Fruit,800,Current,0.7272727272727273
COFFAR,Fruit,900,RCP45,0.6060606060606061
COFFAR,Fruit,900,RCP85,0.5757575757575758
COFFAR,Fruit,900,Current,0.7272727272727273
COFFAR,Fruit,1000,RCP45,0.6363636363636364
COFFAR,Fruit,1000,RCP85,0.5757575757575758
COFFAR,Fruit,1000,Current,0.7272727272727273
COFFAR,Fruit,1100,RCP45,0.696969696969697
COFFAR,Fruit,1100,RCP85,0.6363636363636364
COFFAR,Fruit,1100,Current,0.7575757575757576
COFFAR,Fruit,1200,RCP45,0.696969696969697
COFFAR,Fruit,1200,RCP85,0.6363636363636364
COFFAR,Fruit,1200,Current,0.7272727272727273
COFFAR,Fruit,1300,RCP45,0.696969696969697
COFFAR,Fruit,1300,RCP85,0.6666666666666666
COFFAR,Fruit,1300,Current,0.696969696969697
COFFAR,Fruit,1400,RCP45,0.696969696969697
COFFAR,Fruit,1400,RCP85,0.6666666666666666
COFFAR,Fruit,1400,Current,0.6666666666666666
COFFAR,Fruit,1500,RCP45,0.6666666666666666
COFFAR,Fruit,1500,RCP85,0.6363636363636364
COFFAR,Fruit,1500,Current,0.6060606060606061
COFFAR,Fruit,1600,RCP45,0.6363636363636364
COFFAR,Fruit,1600,RCP85,0.6363636363636364
COFFAR,Fruit,1600,Current,0.5757575757575758
COFFAR,Fruit,1700,RCP45,0.5757575757575758
COFFAR,Fruit,1700,RCP85,0.5454545454545454
COFFAR,Fruit,1700,Current,0.5151515151515151
COFFAR,Fruit,1800,RCP45,0.5151515151515151
COFFAR,Fruit,1800,RCP85,0.5151515151515151
COFFAR,Fruit,1800,Current,0.48484848484848486
COFFAR,Fruit,1900,RCP45,0.5151515151515151
COFFAR,Fruit,1900,RCP85,0.5151515151515151
COFFAR,Fruit,1900,Current,0.45454545454545453
COFFAR,Fruit,2000,RCP45,0.48484848484848486
COFFAR,Fruit,2000,RCP85,0.48484848484848486
COFFAR,Fruit,2000,Current,0.3939393939393939
COFFAR,Fruit,2100,RCP45,0.42424242424242425
COFFAR,Fruit,2100,RCP85,0.42424242424242425
COFFAR,Fruit,2100,Current,0.36363636363636365
COFFAR,Fruit,2200,RCP45,0.3939393939393939
COFFAR,Fruit,2200,RCP85,0.36363636363636365
COFFAR,Fruit,2200,Current,0.3333333333333333
COFFAR,Fruit,2300,RCP45,0.36363636363636365
COFFAR,Fruit,2300,RCP85,0.36363636363636365
COFFAR,Fruit,2300,Current,0.30303030303030304
COFFAR,Fruit,2400,RCP45,0.3939393939393939
COFFAR,Fruit,2400,RCP85,0.3939393939393939
COFFAR,Fruit,2400,Current,0.30303030303030304
COFFAR,N-fixing,400,RCP45,0.5333333333333333
COFFAR,N-fixing,400,RCP85,0.4666666666666667
COFFAR,N-fixing,400,Current,0.7
COFFAR,N-fixing,500,RCP45,0.5
COFFAR,N-fixing,500,RCP85,0.43333333333333335
COFFAR,N-fixing,500,Current,0.7
COFFAR,N-fixing,600,RCP45,0.4666666666666667
COFFAR,N-fixing,600,RCP85,0.4
COFFAR,N-fixing,600,Current,0.6666666666666666
COFFAR,N-fixing,700,RCP45,0.4666666666666667
COFFAR,N-fixing,700,RCP85,0.4
COFFAR,N-fixing,700,Current,0.6666666666666666
COFFAR,N-fixing,800,RCP45,0.4666666666666667
COFFAR,N-fixing,800,RCP85,0.43333333333333335
COFFAR,N-fixing,800,Current,0.6666666666666666
COFFAR,N-fixing,900,RCP45,0.5
COFFAR,N-fixing,900,RCP85,0.43333333333333335
COFFAR,N-fixing,900,Current,0.6666666666666666
COFFAR,N-fixing,1000,RCP45,0.5333333333333333
COFFAR,N-fixing,1000,RCP85,0.4666666666666667
COFFAR,N-fixing,1000,Current,0.7
COFFAR,N-fixing,1100,RCP45,0.5666666666666667
COFFAR,N-fixing,1100,RCP85,0.5
COFFAR,N-fixing,1100,Current,0.7
COFFAR,N-fixing,1200,RCP45,0.6
COFFAR,N-fixing,1200,RCP85,0.5666666666666667
COFFAR,N-fixing,1200,Current,0.7333333333333333
COFFAR,N-fixing,1300,RCP45,0.6333333333333333
