acronym,system,never_suitable(0),remains_suitable(1),no_longer_suitable(-1),new_habitat(2),area_km2,remains_suitable_(1)_perc,no_longer_suitable(-1)_perc,new_habitat_(2)_per,net_change_perc,species,main_use,cover_inventory
ACACHI,COFFAR_current_suit,7253,7314,0,0,35838.600000000006,100,0,0,0,Acacia hindsii,N-fixing,0.006955844
ACACHI,COFFAR_current_not,0,0,0,0,0,NaN,NaN,NaN,NaN,Acacia hindsii,N-fixing,0.006955844
ACACHI,THEOCA_current_suit,17794,6079,0,0,29787.100000000002,100,0,0,0,Acacia hindsii,N-fixing,0.006955844
ACACHI,THEOCA_current_not,0,0,0,0,0,NaN,NaN,NaN,NaN,Acacia hindsii,N-fixing,0.006955844
ACACHI,COFFAR_45_suit,3562,3162,499,98,17938.9,86.36984430483474,13.630155695165255,2.676864244741874,-10.953291450423382,Acacia hindsii,N-fixing,0.006955844
ACACHI,COFFAR_45_not,4016,3245,644,29,19056.100000000002,83.44047312933917,16.559526870660836,0.7456929802005657,-15.81383389046027,Acacia hindsii,N-fixing,0.006955844
ACACHI,THEOCA_45_suit,15326,3772,1469,501,25680.9,71.9709979011639,28.0290020988361,9.559244419004006,-18.469757679832092,Acacia hindsii,N-fixing,0.006955844
ACACHI,THEOCA_45_not,2195,885,41,34,4537.4000000000005,95.57235421166307,4.427645788336933,3.6717062634989204,-0.7559395248380123,Acacia hindsii,N-fixing,0.006955844
ACACHI,COFFAR_85_suit,3190,2552,599,80,15439.900000000001,80.99016185337989,19.00983814662012,2.5388765471278956,-16.470961599492224,Acacia hindsii,N-fixing,0.006955844
ACACHI,COFFAR_85_not,4481,3571,872,52,21770.7,80.37362142696377,19.626378573036238,1.1703803736214269,-18.45599819941481,Acacia hindsii,N-fixing,0.006955844
ACACHI,THEOCA_85_suit,14850,3119,1790,366,24054.100000000002,63.53636178447749,36.46363821552251,7.455693623955999,-29.00794459156651,Acacia hindsii,N-fixing,0.006955844
ACACHI,THEOCA_85_not,2776,1196,55,80,6129.9000000000005,95.603517186251,4.396482813749001,6.394884092725819,1.998401278976818,Acacia hindsii,N-fixing,0.006955844
ACACPE,COFFAR_current_suit,4746,9821,0,0,48122.9,100,0,0,0,Acacia pennatula,N-fixing,0.022258701999999998
ACACPE,COFFAR_current_not,0,0,0,0,0,NaN,NaN,NaN,NaN,Acacia pennatula,N-fixing,0.022258701999999998
ACACPE,THEOCA_current_suit,16942,6931,0,0,33961.9,100,0,0,0,Acacia pennatula,N-fixing,0.022258701999999998
ACACPE,THEOCA_current_not,0,0,0,0,0,NaN,NaN,NaN,NaN,Acacia pennatula,N-fixing,0.022258701999999998
ACACPE,COFFAR_45_suit,1224,5228,808,61,29576.4,86.61365142478462,13.386348575215374,1.0106030483764084,-12.375745526838966,Acacia pennatula,N-fixing,0.022258701999999998
ACACPE,COFFAR_45_not,3525,3528,856,25,21481.600000000002,80.47445255474453,19.525547445255476,0.5702554744525548,-18.95529197080292,Acacia pennatula,N-fixing,0.022258701999999998
ACACPE,THEOCA_45_suit,14776,4647,1076,569,28042.7,81.19867202516163,18.801327974838372,9.94233793464966,-8.858990040188713,Acacia pennatula,N-fixing,0.022258701999999998
ACACPE,THEOCA_45_not,1725,1235,143,52,6752.200000000001,89.62264150943396,10.377358490566039,3.7735849056603774,-6.603773584905661,Acacia pennatula,N-fixing,0.022258701999999998
ACACPE,COFFAR_85_suit,998,4469,905,49,26332.600000000002,83.15965761071827,16.840342389281727,0.9117975437290659,-15.928544845552661,Acacia pennatula,N-fixing,0.022258701999999998
ACACPE,COFFAR_85_not,3796,3884,1271,25,25259.500000000004,75.34432589718719,24.655674102812803,0.4849660523763337,-24.17070805043647,Acacia pennatula,N-fixing,0.022258701999999998
ACACPE,THEOCA_85_suit,13955,4329,1301,540,27587.000000000004,76.89165186500888,23.108348134991118,9.591474245115453,-13.516873889875665,Acacia pennatula,N-fixing,0.022258701999999998
ACACPE,THEOCA_85_not,2518,1210,268,111,7242.200000000001,81.86738836265224,18.132611637347768,7.510148849797023,-10.622462787550745,Acacia pennatula,N-fixing,0.022258701999999998
ACACPI,COFFAR_current_suit,7329,7238,0,0,35466.200000000004,100,0,0,0,Acacia picachensis,N-fixing,0.008347013
