acronym,system,never_suitable(0),remains_suitable(1),no_longer_suitable(-1),new_habitat(2),area_km2,remains_suitable_(1)_perc,no_longer_suitable(-1)_perc,new_habitat_(2)_per,net_change_perc,species,main_use,cover_inventory
ACACHI,COFFAR_45,7145,6244,1070,108,NA,85.3705222860268,14.629477713973202,1.4766201804757997,-13.152857533497402,Acacia hindsii,N-fixing,0.006955844
ACACHI,THEOCA_45,17261,4584,1495,533,NA,75.40713933212699,24.592860667873005,8.76788945550255,-15.824971212370455,Acacia hindsii,N-fixing,0.006955844
ACACHI,COFFAR_85,7147,5935,1379,106,NA,81.1457478807766,18.854252119223407,1.4492753623188406,-17.404976756904567,Acacia hindsii,N-fixing,0.006955844
ACACHI,THEOCA_85,17349,4255,1824,445,NA,69.9950649777924,30.0049350222076,7.320282941273236,-22.684652080934363,Acacia hindsii,N-fixing,0.006955844
ACACPE,COFFAR_45,4691,8157,1664,55,NA,83.05671520211791,16.94328479788209,0.560024437429997,-16.38326036045209,Acacia pennatula,N-fixing,0.022258701999999998
ACACPE,THEOCA_45,16328,5757,1174,614,NA,83.06160727167797,16.938392728322032,8.858750541047469,-8.079642187274564,Acacia pennatula,N-fixing,0.022258701999999998
ACACPE,COFFAR_85,4707,7647,2174,39,NA,77.86376132776704,22.13623867223297,0.39710823745036145,-21.73913043478261,Acacia pennatula,N-fixing,0.022258701999999998
ACACPE,THEOCA_85,16303,5421,1510,639,NA,78.21382195931324,21.786178040686767,9.219448852979369,-12.566729187707399,Acacia pennatula,N-fixing,0.022258701999999998
ACACPI,COFFAR_45,6884,6267,971,445,NA,86.58469190384083,13.415308096159158,6.148107211936999,-7.267200884222159,Acacia picachensis,N-fixing,0.008347013
ACACPI,THEOCA_45,20831,1658,1161,223,NA,58.81518268889677,41.18481731110323,7.910606598084427,-33.2742107130188,Acacia picachensis,N-fixing,0.008347013
ACACPI,COFFAR_85,6894,6175,1063,435,NA,85.3136225476651,14.686377452334899,6.0099474993092015,-8.676429953025696,Acacia picachensis,N-fixing,0.008347013
ACACPI,THEOCA_85,20645,1653,1166,409,NA,58.63781482795317,41.36218517204682,14.508691025186234,-26.853494146860587,Acacia picachensis,N-fixing,0.008347013
ACOSPA,COFFAR_45,6151,7128,1001,287,NA,87.68606224627875,12.313937753721245,3.530569565752245,-8.783368187969,Acosmium panamense,Timber,0.261539746
ACOSPA,THEOCA_45,4762,17484,843,784,NA,95.40022917007693,4.599770829923065,4.277841436132482,-0.32192939379058316,Acosmium panamense,Timber,0.261539746
ACOSPA,COFFAR_85,6239,6705,1424,199,NA,82.48247016853242,17.517529831467584,2.4480255874031247,-15.06950424406446,Acosmium panamense,Timber,0.261539746
ACOSPA,THEOCA_85,4761,17489,838,785,NA,95.42751132209308,4.572488677906914,4.283297866535713,-0.28919081137120095,Acosmium panamense,Timber,0.261539746
ALBIGU,COFFAR_45,5292,7086,1621,568,NA,81.38279545193522,18.617204548064777,6.523486849661192,-12.093717698403584,Albizia guachapele,Timber,0.698366768
ALBIGU,THEOCA_45,5830,13751,1777,2515,NA,88.55615662029882,11.443843379701185,16.19654817104585,4.752704791344666,Albizia guachapele,Timber,0.698366768
ALBIGU,COFFAR_85,5281,6713,1994,579,NA,77.09888595383025,22.90111404616975,6.649821982313081,-16.251292063856667,Albizia guachapele,Timber,0.698366768
ALBIGU,THEOCA_85,5137,13608,1920,3208,NA,87.63523956723338,12.364760432766616,20.659453889747553,8.294693456980937,Albizia guachapele,Timber,0.698366768
ANACEX,COFFAR_45,11644,2138,690,95,NA,75.6011315417256,24.398868458274396,3.3592644978783595,-21.039603960396036,Anacardium excelsum,Timber,0.189198965
ANACEX,THEOCA_45,13493,8433,1525,422,NA,84.68567985539265,15.314320144607352,4.237798754770035,-11.076521389837318,Anacardium excelsum,Timber,0.189198965
ANACEX,COFFAR_85,11638,2214,614,101,NA,78.28854314002828,21.71145685997171,3.571428571428571,-18.140028288543142,Anacardium excelsum,Timber,0.189198965
