x,y,species cloglog values
1.0,1.0,0.1432174
2.0,2.0,0.009303275
3.0,3.0,2.243644E-5
4.0,4.0,1.9533514E-5
5.0,5.0,0.0018380109
6.0,6.0,0.018033687
7.0,7.0,0.0076891845
8.0,8.0,0.22612344
9.0,9.0,0.10914995
10.0,10.0,0.0053481734
11.0,11.0,0.0016621685
12.0,12.0,0.056094147
13.0,13.0,0.13327461
14.0,14.0,0.019788465
15.0,15.0,0.028762827
16.0,16.0,0.0027814521
17.0,17.0,0.0012482806
18.0,18.0,2.453922E-4
19.0,19.0,1.3723705E-8
20.0,20.0,0.012852864
21.0,21.0,0.022319114
22.0,22.0,0.033309508
23.0,23.0,0.0031361391
24.0,24.0,3.4205083E-4
25.0,25.0,4.571995E-6
26.0,26.0,0.026779389
27.0,27.0,0.020347213
28.0,28.0,0.053525716
29.0,29.0,2.9068153E-6
30.0,30.0,0.014303092
31.0,31.0,0.088664934
32.0,32.0,2.0524318E-4
33.0,33.0,0.0013416078
34.0,34.0,3.416189E-4
35.0,35.0,9.601057E-5
36.0,36.0,0.001585082
37.0,37.0,4.6809518E-4
38.0,38.0,3.87154E-5
39.0,39.0,0.021871302
40.0,40.0,5.420552E-9
41.0,41.0,0.06258783
42.0,42.0,3.2391525E-9
43.0,43.0,1.3413965E-5
44.0,44.0,0.011409272
45.0,45.0,0.0012803172
46.0,46.0,6.64318E-7
47.0,47.0,0.98011935
48.0,48.0,0.005460891
49.0,49.0,2.7129718E-5
50.0,50.0,0.025368424
51.0,51.0,1.493143E-5
52.0,52.0,0.005184135
53.0,53.0,1.4280542E-8
54.0,54.0,4.5570062E-4
55.0,55.0,0.15526412
56.0,56.0,0.0622389
57.0,57.0,0.050191037
58.0,58.0,0.012577553
59.0,59.0,0.017600724
60.0,60.0,8.3313597E-7
61.0,61.0,1.3019659E-6
62.0,62.0,0.024341552
63.0,63.0,7.459245E-4
64.0,64.0,5.685363E-4
65.0,65.0,3.8950116E-4
66.0,66.0,0.0035005254
67.0,67.0,0.018303
68.0,68.0,1.2595743E-4
69.0,69.0,0.0015633181
70.0,70.0,0.008760049
71.0,71.0,0.023615204
72.0,72.0,8.0444825E-6
73.0,73.0,0.095128074
74.0,74.0,0.74776506
75.0,75.0,8.3163386E-4
76.0,76.0,0.0010593018
77.0,77.0,0.027902512
78.0,78.0,4.386512E-6
79.0,79.0,0.14457765
80.0,80.0,6.7759055E-4
81.0,81.0,0.0032329746
82.0,82.0,8.153908E-4
83.0,83.0,6.5713546E-5
84.0,84.0,6.3030876E-4
85.0,85.0,0.041456915
86.0,86.0,0.26557276
87.0,87.0,6.939582E-7
88.0,88.0,0.008160293
89.0,89.0,0.00935227
90.0,90.0,8.218232E-6
91.0,91.0,2.32153E-4
92.0,92.0,0.20656526
93.0,93.0,1.2087429E-8
94.0,94.0,0.0057361284
95.0,95.0,1.003368E-6
96.0,96.0,0.0039711245
97.0,97.0,0.020170225
98.0,98.0,0.009699731
99.0,99.0,1.8019024E-4
100.0,100.0,4.2742272E-4
101.0,101.0,0.153651
102.0,102.0,6.2045397E-6
103.0,103.0,0.030713907
104.0,104.0,5.5876512E-9
105.0,105.0,0.001609254
106.0,106.0,0.031382848
107.0,107.0,0.0017023187
108.0,108.0,4.196258E-6
109.0,109.0,0.006823638
110.0,110.0,0.03792609
111.0,111.0,0.007138479
112.0,112.0,0.009674366
113.0,113.0,3.1873412E-6
114.0,114.0,0.0034892214
115.0,115.0,0.0034577446
116.0,116.0,0.0050074547
117.0,117.0,9.515984E-4
118.0,118.0,6.6624547E-4
119.0,119.0,0.31708282
120.0,120.0,6.30358E-4
121.0,121.0,0.035944287
122.0,122.0,0.025569445
123.0,123.0,0.026907394
124.0,124.0,0.014094343
125.0,125.0,0.06205817
126.0,126.0,6.302416E-4
127.0,127.0,9.2492485E-4
128.0,128.0,0.01787846
129.0,129.0,1.09247696E-4
130.0,130.0,0.0413074
131.0,131.0,6.084049E-4
132.0,132.0,0.0016149381
133.0,133.0,0.004039645
134.0,134.0,0.41848004
135.0,135.0,1.3392458E-4
136.0,136.0,0.0010467636
137.0,137.0,0.0013415212
138.0,138.0,0.032687914
139.0,139.0,0.20866628
140.0,140.0,0.01398654
141.0,141.0,7.824344E-9
142.0,142.0,0.0032365068
143.0,143.0,2.6675053E-9
144.0,144.0,1.5910577E-5
145.0,145.0,5.899615E-6
146.0,146.0,0.011029988
147.0,147.0,7.916861E-6
148.0,148.0,6.9525304E-5
149.0,149.0,0.0031617756
150.0,150.0,0.094941966
151.0,151.0,0.002784238
152.0,152.0,0.017844645
153.0,153.0,3.361779E-8
154.0,154.0,0.015878897
155.0,155.0,2.823818E-6
156.0,156.0,0.002242037
157.0,157.0,7.6500015E-7
158.0,158.0,0.012131765
159.0,159.0,4.8197086E-7
160.0,160.0,0.021950284
161.0,161.0,0.020644628
162.0,162.0,0.0036248988
163.0,163.0,3.785591E-5
164.0,164.0,3.6955662E-5
165.0,165.0,0.008037648
166.0,166.0,0.021169629
167.0,167.0,0.004615272
168.0,168.0,0.06562977
169.0,169.0,0.15944125
170.0,170.0,0.07961391
171.0,171.0,0.00408099
172.0,172.0,5.440236E-4
173.0,173.0,1.1031636E-9
174.0,174.0,9.7693855E-6
175.0,175.0,0.0040922277
176.0,176.0,0.0017402242
177.0,177.0,0.99581105
178.0,178.0,2.9837404E-4
179.0,179.0,3.070883E-4
180.0,180.0,0.008546728
181.0,181.0,0.0060237143
182.0,182.0,0.1071496
183.0,183.0,3.3776325E-6
184.0,184.0,4.5279565E-4
185.0,185.0,5.732527E-7
186.0,186.0,5.1775185E-4
187.0,187.0,0.11058081
188.0,188.0,0.003755139
189.0,189.0,0.0047615655
190.0,190.0,9.524936E-5
191.0,191.0,5.0239824E-4
192.0,192.0,5.875371E-4
193.0,193.0,7.888634E-9
194.0,194.0,0.0014540592
195.0,195.0,0.0042118076
196.0,196.0,0.075544596
197.0,197.0,4.5999332E-8
198.0,198.0,2.8702931E-9
199.0,199.0,0.0066763074
200.0,200.0,0.0015173515
201.0,201.0,0.0050153374
202.0,202.0,0.030499808
203.0,203.0,4.1766427E-7
204.0,204.0,0.0290672
205.0,205.0,0.0071868966
206.0,206.0,1.224528E-5
207.0,207.0,0.0019372926
208.0,208.0,0.001255855
209.0,209.0,0.046603348
210.0,210.0,5.211361E-4
211.0,211.0,4.1729034E-4
212.0,212.0,0.002798467
213.0,213.0,1.2594331E-8
214.0,214.0,2.5166953E-6
215.0,215.0,0.38952655
216.0,216.0,0.058922123
217.0,217.0,0.008553858
218.0,218.0,0.0033470897
219.0,219.0,5.4110785E-7
220.0,220.0,0.0060203634
221.0,221.0,0.0059496053
222.0,222.0,0.67572284
223.0,223.0,0.021028915
224.0,224.0,2.9029913E-4
225.0,225.0,0.115492806
226.0,226.0,7.0147094E-6
227.0,227.0,0.003352229
228.0,228.0,0.0055708187
229.0,229.0,8.6846555E-8
230.0,230.0,2.6335E-4
231.0,231.0,0.021913478
232.0,232.0,6.971521E-7
233.0,233.0,0.009179179
234.0,234.0,0.03544202
235.0,235.0,0.001305288
236.0,236.0,4.6783732E-9
237.0,237.0,9.114436E-9
238.0,238.0,1.7534489E-5
239.0,239.0,0.0068084234
240.0,240.0,0.053508688
241.0,241.0,0.0025315813
242.0,242.0,0.0038767878
243.0,243.0,0.0028141837
244.0,244.0,6.8227896E-6
245.0,245.0,0.19799238
246.0,246.0,0.0815031
247.0,247.0,0.9743493
248.0,248.0,9.395672E-6
249.0,249.0,0.61533123
250.0,250.0,7.2456023E-4
251.0,251.0,1.423248E-4
252.0,252.0,7.550921E-9
253.0,253.0,0.1268884
254.0,254.0,0.0014555594
255.0,255.0,6.670496E-5
256.0,256.0,0.013943457
257.0,257.0,9.787849E-6
258.0,258.0,8.3083945E-4
259.0,259.0,0.022725374
260.0,260.0,0.0068684556
261.0,261.0,0.007952986
262.0,262.0,1.483255E-4
263.0,263.0,0.003496323
264.0,264.0,6.369181E-8
265.0,265.0,0.054707527
266.0,266.0,0.07974205
267.0,267.0,0.05481701
268.0,268.0,3.889717E-7
269.0,269.0,8.127455E-4
270.0,270.0,8.5646214E-5
271.0,271.0,0.104999006
272.0,272.0,0.0028091893
273.0,273.0,2.6669807E-4
274.0,274.0,0.0035869943
275.0,275.0,1.3077592E-4
276.0,276.0,0.041297015
277.0,277.0,7.8863173E-4
278.0,278.0,0.004053645
279.0,279.0,0.026174279
