Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
7.22477E-13,0.000000001,0.000000001,0.997932257,0,0
1.19689E-12,0.000000003,0.000000001,0.996258369,0,0
2.21182E-12,0.00000001,0.000000002,0.991729027,0,0
3.56679E-12,0.000000025,0.000000003,0.986608901,0,0
8.3222E-12,0.0000001,0.000000007,0.973316266,0,0
2.48909E-11,0.000000252,0.00000002,0.962386766,0,0
1.39489E-10,0.000001012,0.000000111,0.950571091,0,0
3.52157E-10,0.000002523,0.00000028,0.943875542,0,0
8.55483E-10,0.00001001,0.000000681,0.931961402,0,0
1.45331E-9,0.000025024,0.000001157,0.918964159,0,0
2.29024E-9,0.000050048,0.000001824,0.90557306,0,0
4.16898E-9,0.000100231,0.00000332,0.890015754,0,0
9.12684E-9,0.000250015,0.000007268,0.867565971,0,0
1.50154E-8,0.000500359,0.000011958,0.846790075,0,0
2.59576E-8,0.001002489,0.000020672,0.821878692,0,0
6.98452E-8,0.002504577,0.000055622,0.788007089,0,0
1.28561E-7,0.005009683,0.000102379,0.762898779,0,0
2.47359E-7,0.010001825,0.000196974,0.736018117,0,0
4.87042E-7,0.025038327,0.000387799,0.695746357,0,0
7.52541E-7,0.050060906,0.000599136,0.656163844,0,0
1.15849E-6,0.100112826,0.000922183,0.603977944,0,0
2.06812E-6,0.200164601,0.00164567,0.541453328,0,0
2.98907E-6,0.300263536,0.00237763,0.502166207,0,0
3.91236E-6,0.400147062,0.003110911,0.473513194,0,0
4.77084E-6,0.50035781,0.003792235,0.450768019,0,0
5.61092E-6,0.600231082,0.004458509,0.431862938,0,0
6.42835E-6,0.700541324,0.005106387,0.41551792,0,0
6.84167E-6,0.75023731,0.005433817,0.408133123,0.006410256,0
7.3711E-6,0.800588663,0.005853064,0.401142182,0.006410256,0
8.30224E-6,0.900016289,0.006590001,0.388637259,0.006410256,0
9.16492E-6,1.00060443,0.007272272,0.377313903,0.006410256,0
1.00435E-5,1.100603318,0.007966639,0.367073651,0.006410256,0
1.08473E-5,1.200156695,0.008601487,0.357719575,0.006410256,0
1.17328E-5,1.300526209,0.009300352,0.348956282,0.006410256,0
1.24975E-5,1.400074161,0.009903493,0.340882237,0.006410256,0
1.34143E-5,1.501276594,0.010626146,0.333202048,0.006410256,0
1.53895E-5,1.751330896,0.012181215,0.316167783,0.012820513,0
1.71288E-5,2.000533825,0.013548582,0.301102796,0.019230769,0
1.89938E-5,2.251116868,0.015012653,0.287416306,0.019230769,0
2.08918E-5,2.500145579,0.016500318,0.27510831,0.019230769,0
2.27038E-5,2.751495188,0.017918583,0.263686491,0.019230769,0
2.47357E-5,3.00233339,0.019506508,0.253249311,0.019230769,0
2.62722E-5,3.250040368,0.020705532,0.243698306,0.019230769,0
2.845E-5,3.502753614,0.022402489,0.234639622,0.019230769,0
3.01921E-5,3.75098479,0.023757878,0.226270185,0.019230769,0
3.20426E-5,4.000248603,0.025195526,0.218393068,0.019230769,0
3.40767E-5,4.251023361,0.026773363,0.210909807,0.019230769,0
3.58303E-5,4.502339053,0.02813161,0.203820402,0.019230769,0
3.75614E-5,4.751002129,0.029470531,0.197124852,0.019230769,0
3.9522E-5,5.001878629,0.030984725,0.190724695,0.025641026,0
4.14963E-5,5.253389593,0.032507084,0.184619929,0.025641026,0
4.35271E-5,5.503940417,0.034070573,0.178810555,0.032051282,0
4.58544E-5,5.753497882,0.035859196,0.173296573,0.032051282,0
4.7953E-5,6.00248774,0.037469247,0.168077983,0.032051282,0
5.04302E-5,6.25286967,0.039366275,0.163056321,0.038461538,0
5.27803E-5,6.50030646,0.041162513,0.158330051,0.038461538,0
5.49634E-5,6.75324251,0.042828084,0.153702245,0.038461538,0
5.73309E-5,7.000513654,0.044631034,0.149369831,0.044871795,0
6.02989E-5,7.253859659,0.046886584,0.14513588,0.044871795,0
6.27727E-5,7.506115894,0.048762471,0.141098858,0.044871795,0
6.50833E-5,7.755835558,0.050511251,0.137258763,0.044871795,0
6.78761E-5,8.002184836,0.052620718,0.133615597,0.044871795,0
7.0609E-5,8.252375145,0.054680412,0.130070894,0.044871795,0
7.24883E-5,8.502705139,0.056094146,0.126624655,0.044871795,0
7.47432E-5,8.753170398,0.057787701,0.123276881,0.044871795,0
7.80104E-5,9.006289802,0.060236094,0.12002757,0.044871795,0
8.04473E-5,9.252158692,0.062058168,0.116975187,0.044871795,0
8.28329E-5,9.505501738,0.063838436,0.113922804,0.044871795,0
8.60399E-5,9.751029883,0.066226359,0.111067349,0.044871795,0
8.92604E-5,10.004710642,0.0686182,0.108211894,0.044871795,0
9.25729E-5,10.251034794,0.071072018,0.105553367,0.044871795,0
9.5675E-5,10.505637741,0.073364012,0.10289484,0.044871795,0
9.94659E-5,10.759884991,0.076157367,0.100334777,0.044871795,0
1.02435E-4,11.002090757,0.078339018,0.097971642,0.051282051,0
1.05297E-4,11.251585573,0.080437389,0.095608507,0.051282051,0
1.08321E-4,11.508086499,0.082649329,0.093245372,0.051282051,0
1.11632E-4,11.750111096,0.085064906,0.091079165,0.051282051,0
1.15975E-4,12.000016167,0.088223979,0.088912958,0.051282051,0
1.18991E-4,12.259136751,0.090411486,0.086746751,0.051282051,0
1.22301E-4,12.51194476,0.092806374,0.084679007,0.051282051,0
1.26484E-4,12.761188581,0.095823116,0.082709728,0.051282051,0
1.29965E-4,13.004638468,0.098326364,0.080838913,0.057692308,0
1.35365E-4,13.256751176,0.102195659,0.078968098,0.057692308,0
1.39302E-4,13.504186061,0.105006452,0.077195746,0.057692308,0
1.41979E-4,13.757005623,0.10691244,0.075423395,0.057692308,0
1.46631E-4,14.001614385,0.110215246,0.073749508,0.064102564,0
1.51949E-4,14.255309682,0.113975284,0.07207562,0.070512821,0
1.57459E-4,14.50449116,0.117854843,0.070500197,0.070512821,0
1.63724E-4,14.761729035,0.122245181,0.068924774,0.070512821,0
1.70384E-4,15.014002552,0.126888389,0.067447814,0.076923077,0
1.74136E-4,15.255672921,0.129493279,0.066069319,0.076923077,0
1.79719E-4,15.504129889,0.133355123,0.064690823,0.076923077,0
1.84496E-4,15.759194354,0.136645874,0.063312328,0.076923077,0
1.89091E-4,16.002106606,0.139799485,0.062032296,0.083333333,0
1.95486E-4,16.252415934,0.144169287,0.060752265,0.08974359,0
2.0058E-4,16.510234945,0.147634258,0.059472233,0.08974359,0
2.07797E-4,16.756088716,0.152519581,0.058290666,0.08974359,0
2.13433E-4,17.008958979,0.156314953,0.057109098,0.08974359,0
2.18095E-4,17.267874912,0.159441248,0.055927531,0.08974359,0
2.22517E-4,17.509727982,0.162396204,0.054844427,0.08974359,0
2.30067E-4,17.758051534,0.167417394,0.053761323,0.08974359,0
2.35764E-4,18.014371418,0.171186239,0.05267822,0.08974359,0
2.43449E-4,18.252789661,0.176243318,0.05169358,0.08974359,0
2.48473E-4,18.523833024,0.179532464,0.050610477,0.08974359,0
2.60068E-4,18.753685992,0.187073767,0.049724301,0.08974359,0
2.69325E-4,19.018111571,0.193045366,0.048739661,0.08974359,0
2.77047E-4,19.264359924,0.197992379,0.047853486,0.08974359,0
2.9063E-4,19.521424729,0.206621426,0.04696731,0.102564103,0
2.95415E-4,19.756387596,0.209638707,0.046179598,0.102564103,0
3.0162E-4,20.025673399,0.213534912,0.045293423,0.102564103,0
3.09524E-4,20.269888446,0.218469895,0.044505711,0.108974359,0
3.18637E-4,20.521472534,0.224121341,0.043717999,0.108974359,0
3.22945E-4,20.779020485,0.226778805,0.042930288,0.108974359,0
3.33601E-4,21.008972752,0.233312512,0.04224104,0.108974359,0
3.39507E-4,21.278603991,0.236910318,0.041453328,0.115384615,0
3.57104E-4,21.526320176,0.247529804,0.04076408,0.121794872,0
3.64139E-4,21.779086915,0.251733768,0.040074833,0.121794872,0
3.71817E-4,22.000175418,0.256295279,0.039484049,0.121794872,0
3.8E-4,22.262679073,0.261126183,0.038794801,0.121794872,0
3.90953E-4,22.531663665,0.267543017,0.038105553,0.128205128,0
4.08156E-4,22.773030881,0.277509426,0.03751477,0.134615385,0
4.16476E-4,23.020552297,0.282280538,0.036923986,0.134615385,0
4.2189E-4,23.272216066,0.285368473,0.036333202,0.141025641,0
4.32999E-4,23.52993388,0.291663454,0.035742418,0.141025641,0
4.45769E-4,23.750331519,0.298830502,0.035250098,0.147435897,0
4.72948E-4,24.025031636,0.313843938,0.034659315,0.147435897,0
4.82961E-4,24.264517746,0.319294174,0.034166995,0.147435897,0
5.03358E-4,24.510950685,0.330262125,0.033674675,0.147435897,0
5.161E-4,24.766070405,0.337023783,0.033182355,0.147435897,0
5.24154E-4,25.02703679,0.341262742,0.032690035,0.147435897,0
5.41876E-4,25.293191673,0.350494537,0.032197716,0.147435897,0
